,company,date,title,All_Sectors,Admin Jobs,Charity & Voluntary Jobs,Consultancy Jobs,Customer Services Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
156,Usa Survey Job,2018-12-01,Customer Service Agent - Work from Home,Admin Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Usa Survey Job,2018-12-01,work at home data entry,Admin Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Usa Survey Job,2018-12-01,Customer Service Representative,Admin Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,"XPO Logistics, Inc.",2018-12-01,Sr. HRIT Project Manager - HRIT,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,Pink Cursive Luxury Kids Spa,2018-12-01,Glam Squad Member,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,Robert Half International,2018-12-01,Robert Half Management Resources Client Service Director (Outside)- Charlotte,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,Robert Half International,2018-12-01,"Recruiting Manager, The Creative Group - Charlotte","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,A Bridge to Achievement,2018-12-01,Board Certified Behavior Analyst (BCBA),Healthcare & Nursing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Adex Telecom,2018-12-01,"Field Tech I - Charlotte, NC",IT Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,UNC Charlotte,2018-12-01,Assistant Professor of Trumpet,HR & Recruitment Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,RingCentral,2018-12-01,"Account Executive, SMB",IT Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,Penske,2018-12-01,Customer Service Representative (Fueler/Washer/Detailer),Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,Premier Transportation,2019-01-01,"Tractor & Trailer Mechanics Needed - $ 1,000.00 Sign on Bonus",Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,A Smart Cookie,2019-01-01,Kiosk Sales Manager,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,Interstate Truck Center,2019-01-01,Mobile Truck and Trailer Technician,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,A Smart Cookie,2019-01-01,Kitchen Assistant,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,BCG Attorney Search,2019-01-01,Title and Survey Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
173,Robert Half International,2019-01-01,"Recruiting Manager RH Finance and Accounting - Charlotte, NC","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,Zero Waste Recycling,2019-01-01,General Laborer,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,TalentBridge,2019-01-01,Marketing Director,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176,"XPO Logistics, Inc.",2019-01-01,Lead IT Service Continuity Specialist,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,UsaSurveyJob,2019-01-01,Data Entry Clerk - Work from Home,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178,AXA,2019-01-01,Life Operations Development Program - Call Center Associate,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
179,"WYN Consultants   Charlotte, NC Client",2019-01-01,IT Integration Manager,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Passaic Schools,2019-01-01,Administrative Assistant I,Admin Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,"Bedrock Properties, LLC",2019-01-01,Real Estate Opportunity,Property Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
182,1900 Mexican Grill & Tequila Bar,2019-01-01,Server/Waitstaff,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,"XPO Logistics, Inc.",2019-01-01,Senior Strategic Pricing Analyst,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,"XPO Logistics, Inc.",2019-01-01,Curriculum Program Manager,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185,"XPO Logistics, Inc.",2019-01-01,Director of Business Development,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
186,Express,2019-01-01,Store Associate - Charlotte Premium,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
187,Dasmen Residential,2019-01-01,Assistant Property Manager - Training,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,"Waste Connections US, Inc",2019-01-01,Residential Driver,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,infosys,2019-01-01,Technology Lead - US,Property Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
190,infosys,2019-01-01,Project Manager - US,Property Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,Driven Brands,2019-01-01,Sr Infrastructure Engineer,Manufacturing Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
192,HomeTeam Pest Defense,2019-01-01,Termite Technician,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
193,Best Buy,2019-01-01,Sales Consultant - Comp,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
194,Best Buy,2019-01-01,Best Buy Mobile Sales Consultant,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
195,Duke Energy,2019-01-01,Executive Assistant II - Global Risk Management & Insurance,Admin Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Best In The Carolinas,2019-01-01,Closing Coordinator - Administrative Assistant,Property Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
197,Saturn Freight Systems,2019-01-01,Transportation Sales Professionals - Full-Time & P/T - Home Office - Salary W/Comm. or Comm. Only,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,"XPO Logistics, Inc.",2019-01-01,"Sr. Manager, HR Technology - Audit and Compliance",Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
199,"XPO Logistics, Inc.",2019-01-01,Carrier Procurement Representative,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
200,Core & Main,2019-01-01,Fusion Technician I,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,"XPO Logistics, Inc.",2019-01-01,Account Executive,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202,Best Buy,2019-01-01,Best Buy Sales Consultant – Lifestyles,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,Federal Reserve Bank ,2019-01-01,Administrative Assistant Senior Charlotte Branch,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,AXA,2019-01-01,"Senior Manager, Systems Analysis","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205,Robert Half International,2019-01-01,"Recruiting Manager, Robert Half Technology - Charlotte","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
208,Best Buy,2019-01-01,Computing Sales Consultant,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,Impark,2019-01-01,Parking Enforcement Agent Part-Time,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
211,Erie Insurance,2019-01-01,District Sales Manager Trainee,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
213,infosys,2019-01-01,Technology Analyst - US,Property Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
214,infosys,2019-01-01,Lead Consultant - US,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
215,"FABERGENT, INC.",2019-01-01,SQL Database Analyst,IT Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,Ferguson,2019-01-01,Delivery Driver - Non CDL - No Overnights/No Weekends,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
217,AXA,2019-01-01,Head of Field Service and Account Engagement,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
218,AXA,2019-01-01,Administrative Assistant - Legal Department,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
220,Emerson Electric Co,2019-01-01,Associate Field Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
222,McKesson,2019-01-01,Regional Account Manager – Field Sales,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
223,"XPO Logistics, Inc.",2019-01-01,Splunk Security Engineer II,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
224,The Doral Recruiting Group,2019-01-01,Underwriter,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,MASC Medical Recruitment Firm,2019-01-01,Dermatologist,HR & Recruitment Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Best Buy,2019-01-01,NIKON EXPERIENCE EXPERT,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
227,XPO Logistics,2019-01-01,Internal Auditor,Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Logistic Dynamics Inc.,2019-01-01,Freight Broker Agent - Experience Required,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
229,Premier Transportation,2019-01-01,Data Quality Manager,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230,AXA,2019-01-01,Sr. Associate – Branch Support,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
231,Source2 LLC,2019-01-01,Roadway Project Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,Robert Half International,2019-01-01,"Division Director AT Rotation- Charlotte South, NC","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
233,BLKTECH Interactive,2019-01-01,Product Specialist,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
234,BLKTECH Interactive,2019-01-01,UX/UI Designer,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
235,Tyler Search Consultants,2019-01-01,Export Compliance Administrator 5567,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
236,"The Paradies Shops, LLC",2019-01-01,Sales Associate/Cashier - Charlotte Douglas International Airport,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
237,Dane Street,2019-01-01,IME Local Account Manager,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
238,Oakwood Worldwide,2019-01-01,Housekeeping Supervisor,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
239,"Publix Super Markets, Inc.",2019-01-01,"Refrigeration Coord. 2, Facilities Services - Horry County, SC",Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
240,AXA,2019-01-01,"Director - Project Management, Finance Business Operations","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
241,WellCare,2019-01-01,"Director, Provider Relations",Healthcare & Nursing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Infosys,2019-01-01,Technology Analyst - US,Property Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
243,"XPO Logistics, Inc.",2019-01-01,Intern,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
244,"XPO Logistics, Inc.",2019-01-01,Federal Tax Analyst,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,Best Buy,2019-01-01,Geek Squad Consultation Agent,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
246,Byers Engineering,2019-01-01,Permitting Specialist,IT Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,Charlotte Mecklenburg Schools,2019-01-01,"Secretary, 10 mos (2018/2019)",Admin Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,The Arc of North Carolina,2019-01-01,Assistant Regional Director,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
249,"Roll Recruitment, LLC",2019-01-01,Ocean Freight Manager - Import/Export,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250,Premier National Inc.,2019-01-01,General Manager Freight Brokerage,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
251,"XPO Logistics, Inc.",2019-01-01,Logistics Coordinator - 1st Shift,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
252,"XPO Logistics, Inc.",2019-01-01,Manager International Tax,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
253,"Roll Recruitment, LLC",2019-01-01,"Operations Director - Oversight of Ocean, Air, Import/Export, CHB, Warehouse, Domestic and Sales",Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
254,"XPO Logistics, Inc.",2019-01-01,Freight Operations Supervisor,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
255,Isl Techsolutions Inc,2019-01-01,SAS Programmer with Insurance background,IT Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
256,Orkin,2019-01-01,Commercial Pest Control Technician,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
257,TruckerTime Xpress,2019-01-01,Regional CDL-A Driver Needed,HR & Recruitment Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Zynex Medical,2019-01-01,Sales Representative,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Nord Gear Corporation,2019-01-01,Customer Service - NC,Manufacturing Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260,Metrolina Nephrology Associates,2019-01-01,Medical Assistant 1,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
261,"ERM NC, Inc.",2019-01-01,Environmental Field Technician - Wastewater (Entry Level),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
262,Tailored Brands,2019-01-01,Retail Store Assistant Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263,"USA   Smith & Nephew, Inc.",2019-01-01,"Robotics Account Representative - Charlotte, NC",Healthcare & Nursing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
264,McKesson,2019-01-01,Post Acute Care Account Manager - Charlotte,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
265,McNICHOLS,2019-01-01,Welder Generalist,Manufacturing Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
266,Valeant,2019-01-01,"Vision Care Regional Business Director, North/South Carolina","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
267,"Roll Recruitment, LLC",2019-01-01,CHB Manager - Licensed Customs House Broker Required,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
268,Salem Carriers,2019-01-01,Fleet Diesel Mechanic,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
269,Premier Transportation,2019-01-01,Warehouse Dock Supervisor,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
270,Concrete Strategies,2019-01-01,Traveling Commercial Concrete Foreman (Tilt Up),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
271,Pitney Bowes,2019-01-01,3rd shift DISPATCH,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
272,Pitney Bowes,2019-01-01,3rd shift OPERATOR,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
273,Pitney Bowes,2019-01-01,3rd shift LEAD,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
274,Avail Vapor LLC,2019-01-01,Assistant Sales Manager,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
275,Infosys,2019-01-01,Technology Lead - US,Customer Services Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,MSA Security,2019-01-01,Explosive Detection Canine Handler,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
277,EF English First,2019-01-01,English Teacher - Work Abroad with Upfront Paid Flights - No Experience Required,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
278,Best Buy,2019-01-01,Major Appliance Customer Service Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
279,Best Buy,2019-01-01,Project Team Specialist - Overnight,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
280,EF English First,2019-01-01,English Teacher - Teach English in China,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
281,BLKTECH Interactive,2019-01-01,DevOps,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
282,BLKTECH Interactive,2019-01-01,Scrum Master,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
283,BLKTECH Interactive,2019-01-01,Business Systems Analyst,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
284,HD Supply,2019-01-01,Warehouse Associate I,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
285,"XPO Logistics, Inc.",2019-01-01,Sr. Tax Analyst International Income Tax,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
286,"XPO Logistics, Inc.",2019-01-01,Senior FP&A Analyst,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
287,Child Care Resources Inc.,2019-01-01,Statewide Technical Assistance & Professional Development Specialist,Charity & Voluntary Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,Child Care Resources Inc.,2019-01-01,Administrative Assistant - Charlotte NC,Charity & Voluntary Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Child Care Resources Inc.,2019-01-01,Expulsion Prevention Specialist - Healthy Social Behaviors,Charity & Voluntary Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,Child Care Resources Inc.,2019-01-01,Child Development Specialist - Quality Initiatives,Charity & Voluntary Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Child Care Resources Inc.,2019-01-01,Marketing and Development Coordinator,Charity & Voluntary Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Child Care Resources Inc.,2019-01-01,Child and Adult Care Food Program (CACFP) Program,Charity & Voluntary Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Child Care Resources Inc.,2019-01-01,"Sr Director, ECE Professional Development - Charlotte NC",Charity & Voluntary Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Francesca's Service Corporation,2019-01-01,Retail Sales Associate,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
295,Shimadzu Scientific Instruments,2019-01-01,Field Sales Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
296,"XPO Logistics, Inc.",2019-01-01,IT Project Manager,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
297,BCG Attorney Search,2019-01-01,Computer Engineering Patent Agent,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
298,"The Paradies Shops, LLC",2019-01-01,Human Resources Assistant - Charlotte Douglas International Airport,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
299,Pitney Bowes,2019-01-01,1st shift DISPATCH,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
301,AXA,2019-01-01,Regional Counsel,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
302,Pitney Bowes,2019-01-01,1st shift OPERATOR,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
303,McGrath RentCorp,2019-01-01,Production Supervisor,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
304,Aruba Networks,2019-01-01,Customer Experience Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
305,Pitney Bowes,2019-01-01,2nd shift OPERATOR,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
306,"Ferguson Enterprises, Inc.",2019-01-01,Receptionist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
307,Spectrum,2019-01-01,Sr Bus Intel & Analytics Arch,Engineering Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Salem Carriers,2019-01-01,Fleet Diesel Mechanics/Technician,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
309,Worldwide Logistic Partners Inc,2019-01-01,Logistics Sales Professionals - Home Office,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
310,"XPO Logistics, Inc.",2019-01-01,Transcriptionist,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
311,Pathmark Transportation,2019-01-01,Freight Agent / Freight Broker,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
312,Best Buy,2019-01-01,"Helper, Geek Squad Home Delivery (DOT-HUB Cadet)","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
313,Infosys,2019-01-01,Consultant - US,IT Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
315,"XPO Logistics, Inc.",2019-01-01,Customer Billing Requirements and Resolution Analyst,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
316,Federal Reserve Bank ,2019-01-01,Large Bank Deputy Central Point of Contact (BB&T Corporation Supervisory Team),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
317,Best Buy,2019-01-01,Merchandising Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
