,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,Creative & Design Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Part time Jobs,Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
1067,"HDR, Inc.",2018-11-01,Construction Manager/ Resident Engineer,Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068,"J. C. Penney Company, Inc.",2018-11-01,Sephora Product Consultant - Grand Canyon Parkway,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1069,Caesars Entertainment Corporation,2018-11-01,Gaming Applications Lead,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1070,Domino's Pizza,2018-11-01,Assistant Manager(07462) - 9310 S Eastern Ave,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,Domino's Pizza,2018-11-01,Assistant Manager(07467) - 5516 Boulder Highway,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,"Del Taco Restaurants, Inc.",2018-11-01,General Manager 02-092-0981 Las Vegas NV,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073,"Tapestry, Inc.",2018-11-01,Assistant Manager - Forum II - Las Vegas,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074,Landry's,2018-11-01,Pad Shift Manager,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1075,"Tapestry, Inc.",2018-11-01,Assistant Manager - Fashion Show - Las Vegas,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,RSM,2018-11-01,Consulting - Manager - Bank Secrecy Act / Anti-Money Laundering,Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,"Tapestry, Inc.",2018-11-01,Assistant Manager - Las Vegas Premium Outlet - North Men's,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,Domino's Pizza,2018-11-01,Assistant Manager(07461) - 4515 E Bonanza Rd,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079,"Amazon.com, Inc.",2018-11-01,"Manager, LOAA",Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,TravelCenters of America,2018-11-01,Location Manager,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,U.S. HealthWorks,2018-11-01,"Nurse Practitioner or Physician Assistant PRN Las Vegas, NV",Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,RSM,2018-11-01,2019 - Summer - FAS Consulting Associate,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1083,"Boyd Gaming, Inc.",2018-11-01,Supervisor Count Room Soft,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1084,MGM Resorts,2018-11-01,Butler Coordinator (MGM Grand),Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,Domino's Pizza,2018-11-01,Assistant Manager(09030) - 4860 Blue Diamond Rd,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086,Everi,2018-11-01,Senior Project Manager - IT (Las Vegas),Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,"Boyd Gaming, Inc.",2018-11-01,Surveillance System Administrator,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1088,Caesars Entertainment Corporation,2018-11-01,Marketing Database Analyst,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,MGM Resorts,2018-11-01,Principal Software Engineer (Corporate),IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090,Las Vegas Sands Corp.,2018-11-01,Network Engineer III - Security,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,Shutterstock,2018-11-01,Freelance Entertainment Photo Editor,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1092,411 Locals,2018-11-01,Director of Customer Online Marketing,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093,"Boyd Gaming, Inc.",2018-11-01,Senior Data Marketing Strategy Analyst,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1094,MGM Resorts,2018-11-01,Lead Systems Engineer - Quality Assurance (Corporate),IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,"Zappos.com, Inc.",2018-11-01,"Software Engineer, Android",IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1096,GES Corporation,2018-11-01,Sr. Union Benefits Analyst,HR & Recruitment Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097,Las Vegas Sands Corp.,2018-11-01,Network Engineer I,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,Caesars Entertainment Corporation,2018-11-01,Web Developer III,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,"Zappos.com, Inc.",2018-11-01,Project Manager II,Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,"Tapestry, Inc.",2018-11-01,Stock Associate - Fashion Show - Las Vegas,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1101,MGM Resorts,2018-11-01,International Marketing Executive,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1102,L Brands,2018-11-01,BBW Key Holder-BOCA PARK MARKETPLACE,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1103,"Tapestry, Inc.",2018-11-01,Stock Associate - Las Vegas Premium North Women's,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1104,Entravision Communications Corporation,2018-11-01,Internet Content Publisher,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,Caesars Entertainment Corporation,2018-11-01,Programmer Analyst Jr,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,RSM,2018-11-01,Proposal Writer Senior,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1107,MGM Resorts,2018-11-01,Director Product Management - Web,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1108,Thermo Fisher Scientific Inc.,2018-11-01,Account Manager III,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1109,"Zappos.com, Inc.",2018-11-01,Senior SEM/PLA Coordinator,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1110,"Sinclair Broadcast Group, Inc.",2018-11-01,Chief Photographer (11269),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1111,Wynn Resorts,2018-11-01,Server Assistant Marketing Model Wynn Nightlife Seasonal 2019,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1112,"Station Casinos, Inc.",2018-11-01,Keno Writer-Keno-Fiesta Henderson-OC,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1113,Snap on Tools,2018-11-01,TECHKNOW Sales Rep,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1114,Las Vegas Sands Corp.,2018-11-01,Network Engineer III,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115,"Boyd Gaming, Inc.",2018-11-01,Data Strategy Analyst,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1116,MGM Resorts,2018-11-01,Senior Software Developer (Corporate),IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117,Exotics Racing School,2018-11-01,Communications Assistant,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1118,Southern Nevada Health District,2018-11-01,Software Engineer,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,B.R. Guest Inc.,2018-11-01,Room Reservations Agent,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1120,"Time O Matic, Inc.",2018-11-01,Territory Manager - Arizona / Nevada,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1121,Caesars Entertainment Corporation,2018-11-01,"Sr. Director, Strategic Solutions Architect",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1122,MGM Resorts,2018-11-01,Media Tech Engineer (MGM National Harbor),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1123,"Clark County, Nevada",2018-11-01,systems Programmer I/II,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1124,MGM Resorts,2018-11-01,Senior CA Systems Engineer (Corporate),IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125,MGM Resorts,2018-11-01,Lead Network Architect (Corporate),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1126,"Tapestry, Inc.",2018-11-01,Stock Associate - Palazzo - Las Vegas,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1127,Las Vegas Sands Corp.,2018-11-01,Analyst - AML/SAR Business Intelligence,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1128,BGC Partners,2018-11-01,PT Race and Sports Book Ticket Writer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1129,MGM Resorts,2018-11-01,Marketing Executive - Macau Branch Office (Corporate),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1130,MGM Resorts,2018-11-01,Director Product Management - Mobile,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1131,MGM Resorts,2018-11-01,Sr Designer Motion Graphics,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1132,"Tapestry, Inc.",2018-11-01,Stock Associate - Forum II - Las Vegas,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1133,Las Vegas Sands Corp.,2018-11-01,Full Stack eCommerce Engineer,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,411 Locals,2018-11-01,Marketing Automation Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1135,BGC Partners,2018-11-01,Risk Supervisor,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1136,Clark County School District,2018-11-01,"Detwiler, Ollie ES - 2018-2019 Art Teacher, Elementary","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1137,Las Vegas Sands Corp.,2018-11-01,Project Manager - Marketing,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1138,MGM Resorts,2018-11-01,Senior Product Manager (Corporate),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1139,Schwan's Company,2018-11-01,"Route Sales Rep Kingman, AZ - $2500 Sign On Bonus. $40-50k, Some Travel, Full Benefits.",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1140,"Sinclair Broadcast Group, Inc.",2018-11-01,News Editor (10123),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1141,Caesars Entertainment Corporation,2018-11-01,Director of Marketing F & B (CES),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1142,"Zappos.com, Inc.",2018-11-01,Lead Software Engineer,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,Clark County School District,2018-11-01,"Eldorado HS - 2018-2019 Photography Teacher, 9-12","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1144,"Tapestry, Inc.",2018-11-01,Stock Associate - Las Vegas Outlet Center,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1145,Telos Corporation,2018-11-01,Network Engineer CCIE,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,MGM Resorts,2018-11-01,Senior Network Architect (Corporate),IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,TEKsystems,2018-11-01,IT Direct Placement Account Manager - Las Vegas,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1148,Caesars Entertainment Corporation,2018-11-01,Director of Content & Promotions (CES),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1149,Clark County School District,2018-11-01,"Diaz, Ruben P. ES - 2018-2019 Art Teacher, Elementary","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1150,Schwan's Company,2018-11-01,Route Sales Representative,Manufacturing Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1151,Caesars Entertainment Corporation,2018-11-01,Citywide Talent Pool - Race & Sports Writer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1152,Ralph Lauren,2018-11-01,"Retail Sales & Supervisory positions, Polo Factory Store - Las Vegas FOA - 5211865",Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1153,L Brands,2018-11-01,BBW Top Seller-CENTENNIAL MARKETPLACE,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1154,Caesars Entertainment Corporation,2018-11-01,Product Portfolio Owner,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1155,Sunshine Minting,2018-11-01,Artist / Graphic Designer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1156,MGM Resorts,2018-11-01,Nightlife Ambassador (MGM National Harbor),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1157,1st Light Energy,2018-11-01,Sales Representative,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1158,Ralph Lauren,2018-11-01,"RETAIL SALES & SUPERVISORY POSITIONS, POLO FACTORY STORE - LAS VEGAS FOC - TP- Vegas FOC",Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1159,"Varian Medical Systems, Inc.",2018-11-01,Technical Writer - Product Support Engineering Services,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1160,Hubbell Inc.,2018-11-01,"Outside Sales Representative - Las Vegas, NV",Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1161,MGM Resorts,2018-11-01,Media Manager- Online Gaming (Corporate),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1162,Ralph Lauren,2018-11-01,"RETAIL SALES & SUPERVISORY POSITIONS, POLO FACTORY STORE - LAS VEGAS SOUTH - TP- Vegas South",Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1163,Wynn Resorts,2018-11-01,Server Assistant Marketing Model Beach Club 2019,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1164,Marketsource,2018-11-01,Retail Sales Representative,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1165,"Boyd Gaming, Inc.",2018-11-01,Direct Marketing Supervisor,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1166,MGM Resorts,2018-11-01,Marketing Executive - India (Corporate),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1167,L Brands,2018-11-01,BBW Top Seller-BOCA PARK MARKETPLACE,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1168,"Sinclair Broadcast Group, Inc.",2018-11-01,Assistant News Director (11792),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1169,Cox Enterprises,2018-11-01,Key Account Manager - Cox Business,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1170,Sears Holdings Corporation,2018-11-01,Inside Sales,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1171,"Agilysys, Inc.",2018-11-01,Software Solutions Engineer,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1172,Shutterstock,2018-11-01,Freelance Entertainment Photographer,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1173,Freshpoint,2018-11-01,"Account Executive - Las Vegas, Nevada","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1174,"Western Express, Inc.",2018-11-01,"CDL-A Truck Driver Earn $75,000 or More Per Year",Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,Loves Travel Stops & Country Store,2018-11-01,Service Writer - Speedco,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1176,"Western Express, Inc.",2018-11-01,CDL-A Truck Driver LEASE PURCHASE OPPORTUNITY,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,VIPKid,2018-11-01,Online ESL Tutor for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1178,SchoolPsychJobs.com,2018-11-01,"School Psychologist Job in Las Vegas, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1179,CompHealth,2018-11-01,"Physician: Cardiovascular Surgeon Opportunity in Las Vegas, NV | JOB-2453981",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1180,Century Communities,2018-11-01,Online Sales Counselor,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1181,RSM,2018-11-01,Operations Senior Associate - Consulting (Gaming & Hospitality),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1182,Gallagher Bassett NZ Ltd,2018-11-01,Claims Intake Reviewer,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,"Anthem, Inc.",2018-11-01,"PBM Pricing Strategy Analyst / Sr / Mgr (Job family): (Mason, OH; Atlanta, GA; St. Louis, MO; Virginia Beach, VA; Northern New Jersey; Chicago, IL; Minneapolis, MN; Las Vegas, NV; St. Louis, MO; Louisville, KY) - PS12700",Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,Carbon Black,2018-11-01,"Technical Account Manager, Support","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1185,Schwan's Company,2018-11-01,Route Sales Representative - $47-52k,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1186,"Boyd Gaming, Inc.",2018-11-01,Server Market Sea,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1187,Post Acute Medical,2018-11-01,Licensed Practical Nurse PRN Nights,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,Clark County School District,2018-11-01,Bonanza HS - 2018-2019 Physics Teacher Grades 9-12,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1189,MGM Resorts,2018-11-01,Steward Executive Assistant - F&B Administration (Luxor),Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,GES Corporation,2018-11-01,Payroll Manager,HR & Recruitment Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,Caesars Entertainment Corporation,2018-11-01,Corporate Hospitality Intern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1192,City of Las Vegas,2018-11-01,HOURLY - Strong Future Intern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1193,Las Vegas Sands Corp.,2018-11-01,Manager - Data Analytics Audit,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194,Loves Travel Stops & Country Store,2018-11-01,Customer Service Cashier - Retail,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1195,LINK Technologies,2018-11-01,Cloud Administrator,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,Centene,2018-11-01,Program Manager III,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
